Item	Page_Lines	Para	Text
1	1.1 - 1.1	SEC. 1.	SHORT TITLE; TABLE OF CONTENTS.
2	1.2 - 1.3	SEC. 1.(a)	SHORT TITLE.—This Act may be cited as the ‘‘Infrastructure Investment and Jobs Act’’.
3	1.4 - 1.5	SEC. 1.(b)	TABLE OF CONTENTS.—The table of contents for this Act is as follows:
4	2.1 - 3.2	SEC. 2.	REFERENCES. Except as expressly provided otherwise, any reference to ‘‘this Act’’ contained in any division of this Act shall be treated as referring only to the provisions of that division. DIVISION A—SURFACE TRANSPORTATION
5	3.3 - 3.5	SEC. 10001.	SHORT TITLE. This division may be cited as the ‘‘Surface Transportation Reauthorization Act of 2021’’.
6	3.6 - 3.7	SEC. 10002.	DEFINITIONS. In this division: (1) DEPARTMENT.—The term ‘‘Department’’ means the Department of Transportation.
9	3.12 - 3.15	SEC. 10003.	EFFECTIVE DATE. Except as otherwise provided, this division and the amendments made by this division take effect on October 1, 2021.
10	3.16 - 3.19	TITLE I	—FEDERAL-AID HIGHWAYS Subtitle A—Authorizations and Programs
11	3.20 - 3.20	TITLE I SEC. 11101.	AUTHORIZATION OF APPROPRIATIONS.
12	3.21 - 3.23	TITLE I SEC. 11101.(a)	IN GENERAL.—The following amounts are authorized to be appropriated out of the Highway Trust Fund (other than the Mass Transit Account):
13	3.24 - 4.11	TITLE I SEC. 11101.(a)(1)	FEDERAL-AID HIGHWAY PROGRAM.—For the national highway performance program under section 119 of title 23, United States Code, the surface transportation block grant program under section 133 of that title, the highway safety improvement program under section 148 of that title, the congestion mitigation and air quality improvement program under section 149 of that title, the national highway freight program under section 167 of that title, the carbon reduction program under section 175 of that title, to carry out subsection (c) of the PROTECT program under section 176 of that title, and to carry out section 134 of that title—
14	4.12 - 4.12	TITLE I SEC. 11101.(a)(1)(A)	$52,488,065,375 for fiscal year 2022;
15	4.13 - 4.13	TITLE I SEC. 11101.(a)(1)(B)	$53,537,826,683 for fiscal year 2023;
16	4.14 - 4.14	TITLE I SEC. 11101.(a)(1)(C)	$54,608,583,217 for fiscal year 2024;
17	4.15 - 4.16	TITLE I SEC. 11101.(a)(1)(D)	$55,700,754,881 for fiscal year 2025; and
18	4.17 - 4.17	TITLE I SEC. 11101.(a)(1)(E)	$56,814,769,844 for fiscal year 2026.
19	4.18 - 4.23	TITLE I SEC. 11101.(a)(2)	TRANSPORTATION INFRASTRUCTURE FINANCE AND INNOVATION PROGRAM.—For credit assistance under the transportation infrastructure finance and innovation program under chapter 6 of title 23, United States Code, $250,000,000 for each of fiscal years 2022 through 2026.
