Item	Page_Lines	Para	Text
1	1.3 - 1.5	SEC. 1.	SHORT TITLE. This Act may be cited as the ‘‘Clean Commute for Kids Act of 2021’’.
2	1.6 - 1.6	SEC. 2.	CLEAN SCHOOL BUS PROGRAM.
3	1.7 - 1.9	SEC. 2.(a)	IN GENERAL.—Section 741 of the Energy Policy Act of 2005 (42 U.S.C. 16091) is amended to read as follows:
4	2.1 - 2.1	[SEC. 2.(a)] SEC. 741.	CLEAN SCHOOL BUS PROGRAM.
5	2.2 - 2.2	[SEC. 2.(a)] SEC. 741.(a)	DEFINITIONS.—In this section:
6	2.3 - 2.5	[SEC. 2.(a)] SEC. 741.(a)(1)	ADMINISTRATOR.—The term ‘Administrator’ means the Administrator of the Environmental Protection Agency.
7	2.6 - 2.9	[SEC. 2.(a)] SEC. 741.(a)(2)	CLEAN SCHOOL BUS.—The term ‘clean school bus’ means a school bus with a drivetrain that produces, under any possible operational mode or condition, zero exhaust emissions of—
8	2.10 - 2.13	[SEC. 2.(a)] SEC. 741.(a)(2)(A)	any air pollutant that is listed pursuant to section 108(a) of the Clean Air Act (42 U.S.C. 7408(a)) (or any precursor to such an air pollutant); and
9	2.14 - 2.14	[SEC. 2.(a)] SEC. 741.(a)(2)(B)	any greenhouse gas.
10	2.15 - 2.19	[SEC. 2.(a)] SEC. 741.(a)(3)	COMMUNITY OF COLOR.—The term ‘community of color’ means any geographically distinct area the population of color of which is higher than the average population of color of the State in which the community is located.
11	2.20 - 2.23	[SEC. 2.(a)] SEC. 741.(a)(4)	ELIGIBLE CONTRACTOR.—The term ‘eligible contractor’ means a contractor that is a for-profit, not-for-profit, or nonprofit entity that has the capacity—
12	2.24 - 3.2	[SEC. 2.(a)] SEC. 741.(a)(4)(A)	to sell clean school buses, or charging or other equipment needed to charge or maintain clean school buses, to individuals or entities that own a school bus or fleet of school buses; or
13	3.3 - 3.4	[SEC. 2.(a)] SEC. 741.(a)(4)(B)	to arrange financing for a sale described in subparagraph (A).
14	3.5 - 3.5	[SEC. 2.(a)] SEC. 741.(a)(5)	ELIGIBLE RECIPIENT.—
15	3.6 - 3.7	[SEC. 2.(a)] SEC. 741.(a)(5)(A)	IN GENERAL.—Subject to subparagraph (B), the term ‘eligible recipient’ means—
16	3.8 - 3.9	[SEC. 2.(a)] SEC. 741.(a)(5)(A)(i)	1 or more local or State governmental entities responsible for—
17	3.10 - 3.11	[SEC. 2.(a)] SEC. 741.(a)(5)(A)(i)(I)	providing school bus service to 1 or more public school systems; or
18	3.12 - 3.13	[SEC. 2.(a)] SEC. 741.(a)(5)(A)(i)(II)	the purchase of school buses;
19	3.14 - 3.17	[SEC. 2.(a)] SEC. 741.(a)(5)(A)(ii)	a tribally controlled school (as defined in section 5212 of the Tribally Controlled Schools Act of 1988 (25 U.S.C. 2511));
20	3.18 - 3.19	[SEC. 2.(a)] SEC. 741.(a)(5)(A)(iii)	a nonprofit school transportation association; or
21	3.20 - 3.22	[SEC. 2.(a)] SEC. 741.(a)(5)(A)(iv)	1 or more contracting entities that provide school bus service to 1 or more public school systems.
22	3.23 - 3.24	[SEC. 2.(a)] SEC. 741.(a)(5)(B)	SPECIAL REQUIREMENTS.—In the case of eligible recipients described in clauses (iii) and (iv) of subparagraph (A), the Administrator—
24	4.3 - 4.7	[SEC. 2.(a)] SEC. 741.(a)(5)(B)(i)	shall establish timely and appropriate requirements for notice to the public school systems that would be served by school buses purchased using an award under subsection (b)(1); and
25	4.8 - 4.12	[SEC. 2.(a)] SEC. 741.(a)(5)(B)(ii)	may establish timely and appropriate requirements for approval by the public school systems that would be served by school buses purchased using an award under subsection (b)(1).
26	4.13 - 4.14	[SEC. 2.(a)] SEC. 741.(a)(6)	INDIGENOUS COMMUNITY.—The term ‘indigenous community’ means—
27	4.15 - 4.15	[SEC. 2.(a)] SEC. 741.(a)(6)(A)	a federally recognized Indian Tribe;
28	4.16 - 4.16	[SEC. 2.(a)] SEC. 741.(a)(6)(B)	a State-recognized Indian Tribe;
29	4.17 - 4.18	[SEC. 2.(a)] SEC. 741.(a)(6)(C)	an Alaska Native or Native Hawaiian community or organization; or
30	4.19 - 4.21	[SEC. 2.(a)] SEC. 741.(a)(6)(D)	any other community of indigenous people, including communities in other countries.
31	4.22 - 4.24	[SEC. 2.(a)] SEC. 741.(a)(7)	LOW INCOME.—The term ‘low income’ means an annual household income equal to, or less than, the greater of—
32	5.1 - 5.4	[SEC. 2.(a)] SEC. 741.(a)(7)(A)	an amount equal to 80 percent of the median income of the area in which the household is located, as reported by the Department of Housing and Urban Development; and
33	5.5 - 5.6	[SEC. 2.(a)] SEC. 741.(a)(7)(B)	200 percent of the Federal poverty line.
34	5.7 - 5.10	[SEC. 2.(a)] SEC. 741.(a)(8)	LOW-INCOME COMMUNITY.—The term ‘low-income community’ means any census block group in which 30 percent or more of the population are individuals with low income.
35	5.11 - 5.13	[SEC. 2.(a)] SEC. 741.(a)(9)	SCHOOL BUS.—The term ‘school bus’ has the meaning given the term ‘schoolbus’ in section 30125(a) of title 49, United States Code.
36	5.14 - 5.14	[SEC. 2.(a)] SEC. 741.(a)(10)	SCRAP.—
37	5.15 - 5.20	[SEC. 2.(a)] SEC. 741.(a)(10)(A)	IN GENERAL.—The term ‘scrap’, with respect to a school bus engine replaced using an award under subsection (b)(1), means to recycle, crush, or shred the engine within such period and in such manner as determined by the Administrator.
38	5.21 - 5.25	[SEC. 2.(a)] SEC. 741.(a)(10)(B)	EXCLUSION.—The term ‘scrap’ does not include selling, leasing, exchanging, or otherwise disposing of an engine described in subparagraph (A) for use in another motor vehicle in any location.
39	6.1 - 6.2	[SEC. 2.(a)] SEC. 741.(b)	PROGRAM FOR REPLACEMENT OF EXISTING SCHOOL BUSES WITH CLEAN SCHOOL BUSES.—
40	6.3 - 6.5	[SEC. 2.(a)] SEC. 741.(b)(1)	ESTABLISHMENT.—The Administrator, in consultation with the Secretary, shall establish a program for—
41	6.6 - 6.10	[SEC. 2.(a)] SEC. 741.(b)(1)(A)	making awards, on a competitive basis, of grants, rebates, and low-cost revolving loans to eligible recipients for the replacement of existing school buses that are not clean school buses with clean school buses; and
42	6.11 - 6.15	[SEC. 2.(a)] SEC. 741.(b)(1)(B)	making awards of contracts to eligible contractors for providing rebates and lowcost revolving loans for the replacement of existing school buses that are not clean school buses with clean school buses.
43	6.16 - 6.16	[SEC. 2.(a)] SEC. 741.(b)(2)	APPLICATIONS.—
44	6.17 - 6.21	[SEC. 2.(a)] SEC. 741.(b)(2)(A)	IN GENERAL.—An applicant for an award under paragraph (1) shall submit to the Administrator an application at such time, in such manner, and containing such information as the Administrator may require, including—
45	6.22 - 6.22	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(i)	a written assurance that—
46	6.23 - 7.10	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(i)(I)	all laborers and mechanics employed by contractors or subcontractors during construction, alteration, or repair, or at any manufacturing operation, that is financed, in whole or in part, by an award under paragraph (1), shall be paid wages at rates not less than those prevailing in a similar firm or on similar construction in the locality, as determined by the Secretary of Labor in accordance with subchapter IV of chapter 31 of title 40, United States Code; and
47	7.11 - 7.13	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(i)(II)	the applicant agrees to the authority of the Secretary of Labor described in subparagraph (B);
48	7.14 - 7.18	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(ii)	a certification that no public work or service normally performed by a public employee will be privatized or subcontracted in carrying out a project funded by the award;
49	7.19 - 8.2	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(iii)	to ensure a fair assessment of workforce impact related to an award under paragraph (1), a detailed accounting with respect to relevant employees, including employees in each of management, administration, operations, and maintenance, of the eligible recipient at the time of the application, including—
50	8.3 - 8.4	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(iii)(I)	the number of employees, organized by salary;
51	8.5 - 8.6	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(iii)(II)	the bargaining unit status of each employee;
52	8.7 - 8.8	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(iii)(III)	the full-time or part-time status of each employee; and
53	8.9 - 8.10	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(iii)(IV)	the job title of each employee; and
54	8.11 - 8.13	[SEC. 2.(a)] SEC. 741.(b)(2)(A)(iv)	a description of coordination and advance planning with the local electricity provider.
55	8.14 - 8.18	[SEC. 2.(a)] SEC. 741.(b)(2)(B)	AUTHORITY OF SECRETARY OF LABOR.—For any project or activity carried out by a recipient of an award under paragraph (1), the Secretary of Labor shall, with respect to the labor standards described in subparagraph (A)(i)(I), have the authority and functions set forth in Reorganization Plan Numbered 14 of 1950 (64 Stat. 1267; 5 U.S.C. App.) and section 3145 of title 40, United States Code.
57	8.23 - 8.23	[SEC. 2.(a)] SEC. 741.(b)(3)	ELIGIBLE MANUFACTURERS.—
58	8.24 - 9.3	[SEC. 2.(a)] SEC. 741.(b)(3)(A)	IN GENERAL.—The Administrator shall maintain and make publicly available a list of manufacturers of clean school buses from whom recipients of awards under paragraph (1) may purchase clean school buses.
59	9.4 - 9.9	[SEC. 2.(a)] SEC. 741.(b)(3)(B)	CRITERIA.—The Administrator shall establish a process by which manufacturers may seek inclusion on the list established under subparagraph (A), which shall include the submission of such information as the Administrator may require, including—
60	9.10 - 9.18	[SEC. 2.(a)] SEC. 741.(b)(3)(B)(i)	a disclosure of whether there has been any administrative merits determination, arbitral award or decision, or civil judgment, as defined in guidance issued by the Secretary of Labor, rendered against the manufacturer in the preceding 3 years for violations of applicable labor, employment, civil rights, or health and safety laws; and
61	9.19 - 9.19	[SEC. 2.(a)] SEC. 741.(b)(3)(B)(ii)	specific information regarding—
62	9.20 - 9.25	[SEC. 2.(a)] SEC. 741.(b)(3)(B)(ii)(I)	the actions the manufacturer will take to demonstrate compliance with and, where possible, exceedance of, requirements under applicable labor, employment, civil rights, and health and safety laws; and
63	10.1 - 10.6	[SEC. 2.(a)] SEC. 741.(b)(3)(B)(ii)(II)	actions the manufacturer will take to ensure that the direct suppliers of the manufacturer demonstrate compliance with applicable labor, employment, civil rights, and health and safety laws.
64	10.7 - 10.7	[SEC. 2.(a)] SEC. 741.(b)(4)	PRIORITY OF APPLICATIONS.—
65	10.8 - 10.17	[SEC. 2.(a)] SEC. 741.(b)(4)(A)	HIGHEST PRIORITY.—In making awards under paragraph (1), the Administrator shall give highest priority to applicants that propose to replace school buses that serve the highest number of students (measured in absolute numbers or in the percentage of student population) who are eligible for free or reduced price lunches under the Richard B. Russell National School Lunch Act (42 U.S.C. 1751 et seq.).
66	10.18 - 10.20	[SEC. 2.(a)] SEC. 741.(b)(4)(B)	ADDITIONAL PRIORITY.—In making awards under paragraph (1), after taking into account the priority described in subparagraph (A), the Administrator shall give priority to applicants that propose to complement the assistance received through the award by securing additional sources of funding for the activities supported through the award, such as through—
68	11.3 - 11.4	[SEC. 2.(a)] SEC. 741.(b)(4)(B)(i)	public-private partnerships with electric companies;
69	11.5 - 11.5	[SEC. 2.(a)] SEC. 741.(b)(4)(B)(ii)	grants from other entities; or
70	11.6 - 11.6	[SEC. 2.(a)] SEC. 741.(b)(4)(B)(iii)	the issuance of school bonds.
71	11.7 - 11.9	[SEC. 2.(a)] SEC. 741.(b)(5)	USE OF SCHOOL BUS FLEET.—All clean school buses purchased with an award under paragraph (1) shall—
72	11.10 - 11.12	[SEC. 2.(a)] SEC. 741.(b)(5)(A)	be operated as part of the school bus fleet for which the award was made for not less than 5 years;
73	11.13 - 11.15	[SEC. 2.(a)] SEC. 741.(b)(5)(B)	be maintained, operated, charged, and fueled according to manufacturer recommendations or State requirements; and
74	11.16 - 11.20	[SEC. 2.(a)] SEC. 741.(b)(5)(C)	not be manufactured or retrofitted with, or otherwise have installed, a power unit or other technology that creates air pollution within the school bus, such as an unvented diesel passenger heater.
75	11.21 - 11.21	[SEC. 2.(a)] SEC. 741.(b)(6)	AWARDS.—
76	11.22 - 11.22	[SEC. 2.(a)] SEC. 741.(b)(6)(A)	AWARD AMOUNT.—
77	11.23 - 11.23	[SEC. 2.(a)] SEC. 741.(b)(6)(A)(i)	IN GENERAL.—Subject to clause (ii) and subparagraph (D), the Administrator may make an award under paragraph (1) in an amount not more than the amount that is 100 percent of the replacement costs for clean school buses.
79	12.4 - 12.7	[SEC. 2.(a)] SEC. 741.(b)(6)(A)(ii)	LIMITATION.—The replacement costs described in clause (i) shall not exceed an amount equal to 110 percent of the difference between—
80	12.8 - 12.9	[SEC. 2.(a)] SEC. 741.(b)(6)(A)(ii)(I)	the cost of a clean school bus; and
81	12.10 - 12.11	[SEC. 2.(a)] SEC. 741.(b)(6)(A)(ii)(II)	the cost of a diesel school bus.
82	12.12 - 12.16	[SEC. 2.(a)] SEC. 741.(b)(6)(B)	STRUCTURING AWARDS.—In making an award under paragraph (1)(A), the Administrator shall decide whether to award a grant, rebate, or low-cost revolving loan, or a combination thereof, based primarily on—
83	12.17 - 12.19	[SEC. 2.(a)] SEC. 741.(b)(6)(B)(i)	how best to facilitate replacing existing school buses that are not clean school buses with clean school buses; and
84	12.20 - 12.21	[SEC. 2.(a)] SEC. 741.(b)(6)(B)(ii)	the preference of the eligible recipient.
85	12.22 - 12.23	[SEC. 2.(a)] SEC. 741.(b)(6)(C)	INCLUDED COSTS.—An award under paragraph (1) may be used to pay for—
86	13.1 - 13.3	[SEC. 2.(a)] SEC. 741.(b)(6)(C)(i)	acquisition and labor costs for charging or other infrastructure needed to charge or maintain clean school buses;
87	13.4 - 13.6	[SEC. 2.(a)] SEC. 741.(b)(6)(C)(ii)	workforce development and training to support the maintenance, charging, and operations of electric school buses; and
88	13.7 - 13.9	[SEC. 2.(a)] SEC. 741.(b)(6)(C)(iii)	planning and technical activities to support the adoption and deployment of clean school buses.
89	13.10 - 13.11	[SEC. 2.(a)] SEC. 741.(b)(6)(D)	EXCEPTION FOR CONTRACTING ENTITIES.—
90	13.12 - 13.12	[SEC. 2.(a)] SEC. 741.(b)(6)(D)(i)	IN GENERAL.—Subject to clause (ii), in the case of an award under paragraph (1) to an eligible recipient described in subsection (a)(5)(A)(iv), the Administrator may make an award for up to 70 percent of the replacement costs for clean school buses.
92	13.19 - 13.20	[SEC. 2.(a)] SEC. 741.(b)(6)(D)(ii)	EXCEPTION.—If an eligible recipient described in subsection (a)(5)(A)(iv) demonstrates, to the satisfaction of the Administrator, that the labor standards of the eligible recipient are equal to or exceed those of the public school system that would be served by the clean school buses purchased with an award under paragraph (1), the Administrator may make an award to the eligible recipient for up to 90 percent of the replacement costs for clean school buses.
94	14.6 - 14.9	[SEC. 2.(a)] SEC. 741.(b)(6)(E)	REQUIREMENTS.—The Administrator shall require, as a condition of receiving an award under paragraph (1), that an award recipient—
95	14.10 - 14.11	[SEC. 2.(a)] SEC. 741.(b)(6)(E)(i)	does not, as a result of receiving the award—
96	14.12 - 14.13	[SEC. 2.(a)] SEC. 741.(b)(6)(E)(i)(I)	lay off, transfer, or demote any current employee; or
97	14.14 - 14.17	[SEC. 2.(a)] SEC. 741.(b)(6)(E)(i)(II)	reduce the salary or benefits of any current employee or worsen the conditions of work of any current employee; and
98	14.18 - 14.21	[SEC. 2.(a)] SEC. 741.(b)(6)(E)(ii)	provides current employees with training to effectively operate, maintain, or otherwise adapt to new technologies relating to clean school buses.
99	14.22 - 14.22	[SEC. 2.(a)] SEC. 741.(b)(6)(F)	BUY AMERICA.—
100	14.23 - 15.1	[SEC. 2.(a)] SEC. 741.(b)(6)(F)(i)	IN GENERAL.—Except as provided in clause (ii), any clean school bus or electric vehicle supply equipment purchased using an award under paragraph
101	15.2 - 15.3	SEC. 2.(a)(1)	shall comply with section 5323(j) of title 49, United States Code.
102	15.4 - 15.4	[SEC. 2.(a)(1)] (ii)	EXCEPTIONS.—
103	15.5 - 15.12	[SEC. 2.(a)(1)] (ii)(I)	WAIVER.—Subject to subclause (II), the Administrator may provide a waiver to the requirements described in clause (i) in the same manner and to the same extent as the Secretary of Transportation may provide a waiver under section 5323(j)(2) of title 49, United States Code.
104	15.13 - 15.23	[SEC. 2.(a)(1)] (ii)(II)	PERCENTAGE OF COMPONENTS AND SUBCOMPONENTS.—The Administrator may grant a waiver in accordance with section 5323(j)(2)(C) of title 49, United States Code, when an award recipient purchases a clean school bus or electric vehicle supply equipment using an award under paragraph (1) for which the cost of components and subcomponents produced in the United States—
105	15.24 - 16.3	[SEC. 2.(a)(1)] (ii)(II)(aa)	for each of fiscal years 2021 through 2025, is more than 60 percent of the cost of all components of the clean school bus; and
106	16.4 - 16.8	[SEC. 2.(a)(1)] (ii)(II)(bb)	for fiscal year 2025 and each fiscal year thereafter, is more than 70 percent of the cost of all components of the clean school bus. (7) DEPLOYMENT AND DISTRIBUTION.—The Administrator shall—
134	19.15 - 19.16	[SEC. 2.(a)(1)] (iii)	workforce development and training; and
135	19.17 - 19.20	[SEC. 2.(a)(1)] (iv)	any other information that, in the judgment of the Administrator, is relevant to transitioning to and deploying clean school buses; (E) make available the information provided by the Secretary pursuant to subsection
147	20.19 - 20.19	SEC. 2.(a)(1)(A)	with the Administrator.
148	20.20 - 20.25	[SEC. 2.(a)(1)(A)] (2)	TECHNICAL ASSISTANCE.—The Secretary shall, in response to a request from the Administrator, or from an applicant for or recipient of an award under subsection (b)(1), provide technical assistance in the development of an application for or the use of an award under subsection (b)(1). (e) ANNUAL REPORT.—Not later than January 31 of each year after a year for which funds were appropriated to carry out this section, the Administrator shall submit to Congress a report that—
152	21.8 - 21.9	[SEC. 2.(a)(1)(A)] (2)(A)	the total number of applications received for awards under subsection (b)(1);
153	21.10 - 21.12	[SEC. 2.(a)(1)(A)] (2)(B)	the number of clean school buses requested in the applications described in subparagraph (A);
154	21.13 - 21.13	[SEC. 2.(a)(1)(A)] (2)(C)	the awards made under subsection (b)(1) and the criteria used to select the award recipients;
156	21.16 - 21.16	[SEC. 2.(a)(1)(A)] (2)(D)	the awards made under subsection (b)(1) for charging and fueling infrastructure;
158	21.18 - 21.20	[SEC. 2.(a)(1)(A)] (2)(E)	ongoing compliance with the commitments made by manufacturers on the list maintained by the Administrator under subsection (b)(3)(A);
