Item	Page_Lines	Para	Text	Keywords
1	1.1 - 1.2	TITLE I	COMMITTEE ON FINANCE	committee, finance
2	1.3 - 1.3	TITLE I Subtitle A	Deficit Reduction	deficit, reduction
3	1.4 - 1.9	TITLE I Subtitle A SEC. 10001.	AMENDMENT OF 1986 CODE. Except as otherwise expressly provided, whenever in this subtitle an amendment or repeal is expressed in terms of an amendment to, or repeal of, a section or other provision, the reference shall be considered to be made to a section or other provision of the Internal Revenue Code of 1986.	amendment, code, except, otherwise, expressly, whenever, subtitle, repeal, expressed, terms, provision, reference, considered, internal, revenue
4	2.1 - 2.1	TITLE I Subtitle A PART 1	CORPORATE TAX REFORM	corporate, tax, reform
5	2.2 - 2.2	TITLE I Subtitle A PART 1 SEC. 10101.	CORPORATE ALTERNATIVE MINIMUM TAX.	corporate, alternative, minimum, tax
6	2.3 - 2.3	SEC. 10101.(a)	IMPOSITION OF TAX.	imposition, tax
7	2.4 - 2.5	SEC. 10101.(a)(1)	IN GENERAL. Paragraph (2) of section 55(b) is amended to read as follows:	amended, follows
8	2.6 - 2.6	[SEC. 10101.(a)(1)] (2)	CORPORATIONS.	corporations
9	2.7 - 2.10	[SEC. 10101.(a)(1)] (2)(A)	APPLICABLE CORPORATIONS. In the case of an applicable corporation, the tentative minimum tax for the taxable year shall be the excess of	applicable, corporations, case, corporation, tentative, minimum, tax, taxable, excess
10	2.11 - 2.13	[SEC. 10101.(a)(1)] (2)(A)(i)	15 percent of the adjusted financial statement income for the taxable year (as determined under section 56A), over	adjusted, financial, statement, income, taxable, determined, 56a
11	2.14 - 2.15	[SEC. 10101.(a)(1)] (2)(A)(ii)	the corporate AMT foreign tax credit for the taxable year.	corporate, amt, foreign, tax, credit, taxable
12	2.16 - 2.19	[SEC. 10101.(a)(1)] (2)(B)	OTHER CORPORATIONS. In the case of any corporation which is not an applicable corporation, the tentative minimum tax for the taxable year shall be zero.’’.	corporations, case, corporation, applicable, tentative, minimum, tax, taxable, zero
13	2.20 - 2.22	SEC. 10101.(a)(2)	APPLICABLE CORPORATION. Section 59 is amended by adding at the end the following new subsection:	applicable, corporation, amended, adding, new, subsection
14	2.23 - 2.24	[SEC. 10101.(a)(2)] (k)	APPLICABLE CORPORATION. For purposes of this part	applicable, corporation, purposes
15	2.25 - 2.25	[SEC. 10101.(a)(2)] (k)(1)	APPLICABLE CORPORATION DEFINED.	applicable, corporation, defined
