Item	Page_Lines	Para	Text
1	1.1 - 1.2	TITLE I	COMMITTEE ON FINANCE
2	1.3 - 1.3	TITLE I Subtitle A	Deficit Reduction
3	1.4 - 1.9	TITLE I Subtitle A SEC. 10001.	AMENDMENT OF 1986 CODE. Except as otherwise expressly provided, whenever in this subtitle an amendment or repeal is expressed in terms of an amendment to, or repeal of, a section or other provision, the reference shall be considered to be made to a section or other provision of the Internal Revenue Code of 1986.
4	2.1 - 2.1	TITLE I Subtitle A PART 1	CORPORATE TAX REFORM
5	2.2 - 2.2	TITLE I Subtitle A PART 1 SEC. 10101.	CORPORATE ALTERNATIVE MINIMUM TAX.
6	2.3 - 2.3	SEC. 10101.(a)	IMPOSITION OF TAX.
7	2.4 - 2.5	SEC. 10101.(a)(1)	IN GENERAL. Paragraph (2) of section 55(b) is amended to read as follows:
8	2.6 - 2.6	[SEC. 10101.(a)(1)] (2)	CORPORATIONS.
9	2.7 - 2.10	[SEC. 10101.(a)(1)] (2)(A)	APPLICABLE CORPORATIONS. In the case of an applicable corporation, the tentative minimum tax for the taxable year shall be the excess of
10	2.11 - 2.13	[SEC. 10101.(a)(1)] (2)(A)(i)	15 percent of the adjusted financial statement income for the taxable year (as determined under section 56A), over
11	2.14 - 2.15	[SEC. 10101.(a)(1)] (2)(A)(ii)	the corporate AMT foreign tax credit for the taxable year.
12	2.16 - 2.19	[SEC. 10101.(a)(1)] (2)(B)	OTHER CORPORATIONS. In the case of any corporation which is not an applicable corporation, the tentative minimum tax for the taxable year shall be zero.’’.
13	2.20 - 2.22	SEC. 10101.(a)(2)	APPLICABLE CORPORATION. Section 59 is amended by adding at the end the following new subsection:
14	2.23 - 2.24	[SEC. 10101.(a)(2)] (k)	APPLICABLE CORPORATION. For purposes of this part
15	2.25 - 2.25	[SEC. 10101.(a)(2)] (k)(1)	APPLICABLE CORPORATION DEFINED.
16	3.1 - 3.8	[SEC. 10101.(a)(2)] (k)(1)(A)	IN GENERAL. The term ‘applicable corporation’ means, with respect to any taxable year, any corporation (other than an S corporation, a regulated investment company, or a real estate investment trust) which meets the average annual adjusted financial statement income test of subparagraph (B) for one or more taxable years which
17	3.9 - 3.9	[SEC. 10101.(a)(2)] (k)(1)(A)(i)	are prior to such taxable year, and
18	3.10 - 3.10	[SEC. 10101.(a)(2)] (k)(1)(A)(ii)	end after December 31, 2021.
19	3.11 - 3.13	[SEC. 10101.(a)(2)] (k)(1)(B)	AVERAGE ANNUAL ADJUSTED FINANCIAL STATEMENT INCOME TEST. For purposes of this subsection
20	3.14 - 3.21	[SEC. 10101.(a)(2)] (k)(1)(B)(i)	a corporation meets the average annual adjusted financial statement income test for a taxable year if the average annual adjusted financial statement income of such corporation (determined without regard to section 56A(d)) for the 3-taxable-year period ending with such taxable year exceeds $1,000,000,000, and
21	3.22 - 4.2	[SEC. 10101.(a)(2)] (k)(1)(B)(ii)	in the case of a corporation described in paragraph (2), such corporation meets the average annual adjusted financial statement income test for a taxable year if
22	4.3 - 4.6	[SEC. 10101.(a)(2)] (k)(1)(B)(ii)(I)	the corporation meets the requirements of clause (i) for such taxable year (determined after the application of paragraph (2)), and
23	4.7 - 4.14	[SEC. 10101.(a)(2)] (k)(1)(B)(ii)(II)	the average annual adjusted financial statement income of such corporation (determined without regard to the application of paragraph (2) and without regard to section 56A(d)) for the 3-taxable-year-period ending with such taxable year is $100,000,000 or more.
24	4.15 - 4.19	[SEC. 10101.(a)(2)] (k)(1)(C)	EXCEPTION. Notwithstanding subparagraph (A), the term ‘applicable corporation’ shall not include any corporation which otherwise meets the requirements of subparagraph (A) if
25	4.20 - 4.20	[SEC. 10101.(a)(2)] (k)(1)(C)(i)	such corporation
26	4.21 - 4.22	[SEC. 10101.(a)(2)] (k)(1)(C)(i)(I)	has a change in ownership, or
27	4.23 - 5.7	[SEC. 10101.(a)(2)] (k)(1)(C)(i)(II)	has a specified number (to be determined by the Secretary and which shall, as appropriate, take into account the facts and circumstances of the taxpayer) of consecutive taxable years, including the most recent taxable year, in which the corporation does not meet the average annual adjusted financial statement income test of subparagraph (B), and
28	5.8 - 5.19	[SEC. 10101.(a)(2)] (k)(1)(C)(ii)	the Secretary determines that it would not be appropriate to continue to treat such corporation as an applicable corporation. The preceding sentence shall not apply to any corporation if, after the Secretary makes the determination described in clause (ii), such corporation meets the average annual adjusted financial statement income test of subparagraph (B)  for any taxable year beginning after the first taxable year for which such determination applies.
