S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
SEC. 1.	SHORT TITLE; TABLE OF CONTENTS.			
SEC. 1.(a)	SHORT TITLE.—This Act may be cited as the ‘‘Save Our Future Act’’.			
SEC. 1.(b)	TABLE OF CONTENTS.—The table of contents of this Act is as follows:			
TITLE I	—FEES ON AIR POLLUTION			
TITLE I SEC. 101.	CARBON DIOXIDE AND OTHER GREENHOUSE GAS EMISSION FEES.			
TITLE I SEC. 101.(a)	IN GENERAL.—Chapter 38 of the Internal Revenue Code of 1986 is amended by adding at the end thereof the following new subchapter: ‘‘Subchapter E—Carbon Dioxide and Other Greenhouse Gas Emission Fees	internal, revenue, code, amended, adding, new, carbon	SEC. 3.(a)	IN GENERAL.—Chapter 38 of subtitle D of the Internal Revenue Code of 1986 is amended by adding at the end the following new subchapter: ‘‘Subchapter E—Carbon Fee
TITLE I SEC. 101.(a)		internal, revenue, code, amended, adding	SEC. 4.(a)	IN GENERAL.—Subchapter A of chapter 98 of the Internal Revenue Code of 1986 is amended by adding at the end the following:
TITLE I SEC. 101.(a)		internal, revenue, code, amended, adding, new	SEC. 4.(b)	CLERICAL AMENDMENT.—The table of sections for subchapter A of chapter 98 of the Internal Revenue Code of 1986 is amended by adding at the end the following new item:
TITLE I SEC. 101.(a)		internal, revenue, code, amended, adding, new	SEC. 5.(g)	DISCLOSURE OF RETURN INFORMATION.—Section 6103(l) of the Internal Revenue Code of 1986 is amended by adding at the end the following new paragraph:
TITLE I SEC. 101.(a)		internal, revenue, code, greenhouse, gas, fees	SEC. 8.(b)(2)(B)	the status of greenhouse gas emissions reductions that result from the fees established under sections 4692 and 4693 of the Internal Revenue Code of 1986;
[TITLE I SEC. 101.(a)] SEC. 4691.	FEE FOR CARBON DIOXIDE EMISSIONS.			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)	IN GENERAL.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)	FOSSIL FUEL PRODUCTS PRODUCING CARBON EMISSIONS.—There is hereby imposed a fee in an amount equal to the applicable amount at the rate specified in paragraph (2) on—	fuel, emissions, amount, equal, applicable	[SEC. 3.(a)] SEC. 4692.(a)(2)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of any greenhouse gas emissions resulting from the use of covered fuels and any noncovered fuel emissions for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		carbon, imposed, fee, amount, equal	[SEC. 3.(a)] SEC. 4692.(c)	AMOUNT OF THE CARBON FEE.—The carbon fee imposed by this section is an amount equal to—
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		fuel, carbon, emissions, imposed, fee		rules to ensure that the carbon fee under this section, the fee on noncovered fuel emissions under section 4693, or the carbon border fee adjustment is not imposed on an emission from covered fuel or noncovered fuel emission more than once.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		carbon, fee, amount, equal, rate	[SEC. 3.(a)(1)] SEC. 4693.(b)(2)	an amount equal to the carbon fee rate in effect under section 4692(d) for the calendar year of such emission.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		fuel, carbon, imposed, fee, rate	[SEC. 3.(a)(1)] SEC. 4694.(b)(2)(B)(i)	the carbon fee rate during the year in which the carbon fee was imposed by section 4692 on the covered fuel to which such carbon oxide relates, or
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		products, carbon, imposed, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		carbon, imposed, fee, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)		fuel, imposed, fee, amount, equal	[SEC. 3.(a)(1)] SEC. 4695.(c)(2)(A)	IN GENERAL.—In the case of any covered fuel imported into the United States, there is imposed a fee on the person importing such fuel in an amount equal to the amount of any fees that would be imposed under this subchapter related to the use, sale, or transfer of such fuel.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(A)	coal—			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(A)(i)	removed from any mine in the United States, or			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(A)(ii)	entered into the United States for consumption, use, or warehousing,			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)	petroleum products—			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)(i)	removed from any refinery,			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)(ii)	removed from any terminal, or			
