Item	Page_Lines	Para	Text	Keywords
1	1.3 - 1.5	SEC. 1.	SHORT TITLE. This Act may be cited as the ‘‘America’s Clean Future Fund Act’’.	act, cited, america’s, clean, future, fund
2	1.6 - 1.6	SEC. 2.	CLIMATE CHANGE FINANCE CORPORATION.	climate, finance, corporation
3	1.7 - 1.7	SEC. 2.(a)	ESTABLISHMENT.—	establishment
4	1.8 - 2.3	SEC. 2.(a)(1)	IN GENERAL.—There is established in the executive branch an independent agency, to be known as the ‘‘Climate Change Finance Corporation’’ (referred to in this section as the ‘‘C2FC’’), which shall finance clean energy and climate change resiliency activities in accordance with this section.	established, executive, branch, independent, agency, known, climate, finance, corporation, referred, c2fc, clean, energy, resiliency, activities, accordance
5	2.4 - 2.4	SEC. 2.(a)(2)	MISSION.—	mission
6	2.5 - 2.10	SEC. 2.(a)(2)(A)	IN GENERAL.—The mission of the C2FC is to combat and reduce the effects of climate change by building resilience among communities facing harmful impacts of climate change and supporting a dramatic reduction in greenhouse gas emissions—	mission, c2fc, combat, reduce, effects, climate, building, resilience, communities, facing, harmful, impacts, supporting, dramatic, reduction, greenhouse, gas, emissions
7	2.11 - 2.16	SEC. 2.(a)(2)(A)(i)	through the deployment of clean and renewable technology, resilient infrastructure, research and development, the commercialization of new technology, clean energy manufacturing, and industrial decarbonization; and	deployment, clean, renewable, technology, resilient, infrastructure, research, development, commercialization, new, energy, manufacturing, industrial, decarbonization
8	2.17 - 2.17	SEC. 2.(a)(2)(A)(ii)	to meet the goals of—	goals
9	2.18 - 2.20	SEC. 2.(a)(2)(A)(ii)(I)	by 2030, a net reduction of greenhouse gas emissions by 45 percent, based on 2018 levels; and	reduction, greenhouse, gas, emissions, levels
10	2.21 - 2.23	SEC. 2.(a)(2)(A)(ii)(II)	by 2050, a net reduction of greenhouse gas emissions by 100 percent, based on 2018 levels.	reduction, greenhouse, gas, emissions, levels
11	3.1 - 3.3	SEC. 2.(a)(2)(B)	ACTIVITIES.—The C2FC shall carry out the mission described in subparagraph (A) by—	activities, c2fc, carry, mission, described, subparagraph
12	3.4 - 3.6	SEC. 2.(a)(2)(B)(i)	financing investments in clean energy and transportation, resiliency, and infrastructure;	financing, investments, clean, energy, transportation, resiliency, infrastructure
13	3.7 - 3.11	SEC. 2.(a)(2)(B)(ii)	using Federal investment to encourage the infusion of private capital and investment into the clean energy and resilient infrastructure sectors, while creating new workforce opportunities; and	federal, investment, encourage, infusion, private, capital, clean, energy, resilient, infrastructure, sectors, creating, new, workforce, opportunities
14	3.12 - 3.15	SEC. 2.(a)(2)(B)(iii)	providing financing in cases where private capital cannot be leveraged, while minimizing competition with private investment.	providing, financing, cases, private, capital, cannot, leveraged, minimizing, competition, investment
15	3.16 - 3.22	SEC. 2.(a)(3)	EXERCISE OF POWERS.—Except as otherwise provided expressly by law, all Federal laws dealing with public or Federal contracts, property, works, officers, employees, budgets, or funds, including the provisions of chapters 5 and 7 of title 5, United States Code, shall apply to the exercise of the powers of the C2FC.	exercise, powers, except, otherwise, expressly, law, federal, laws, dealing, public, contracts, property, officers, employees, budgets, funds, provisions, chapters, united, states, code, apply, c2fc
16	3.23 - 3.23	SEC. 2.(b)	BOARD OF DIRECTORS.—	board, directors
17	3.24 - 4.4	SEC. 2.(b)(1)	IN GENERAL.—The management of the C2FC shall be vested in a Board of Directors (referred to in this section as the ‘‘Board’’) consisting of 7 members, who shall be appointed by the President, by and with the advice and consent of the Senate.	management, c2fc, vested, board, directors, referred, consisting, members, appointed, president, advice, consent, senate
18	4.5 - 4.5	SEC. 2.(b)(2)	CHAIRPERSON AND VICE CHAIRPERSON.—	chairperson, vice
19	4.6 - 4.11	SEC. 2.(b)(2)(A)	IN GENERAL.—A Chairperson and Vice Chairperson of the Board shall be appointed by the President, by and with the advice and consent of the Senate, from among the individuals appointed to the Board under paragraph (1).	chairperson, vice, board, appointed, president, advice, consent, senate, individuals
20	4.12 - 4.12	SEC. 2.(b)(2)(B)	TERM.—An individual—	term, individual
21	4.13 - 4.15	SEC. 2.(b)(2)(B)(i)	shall serve as Chairperson or Vice Chairperson of the Board for a 3-year term; and	serve, chairperson, vice, board, term
22	4.16 - 4.18	SEC. 2.(b)(2)(B)(ii)	may be renominated for the position until the term of that individual on the Board under paragraph (3)(C) expires.	renominated, term, individual, board, expires
23	4.19 - 4.19	SEC. 2.(b)(3)	BOARD MEMBERS.—	board, members
24	4.20 - 4.22	SEC. 2.(b)(3)(A)	CITIZENSHIP REQUIRED.—Each member of the Board shall be an individual who is a citizen of the United States.	citizenship, required, member, board, individual, citizen, united, states
25	4.23 - 5.2	SEC. 2.(b)(3)(B)	REPRESENTATION.—The members of the Board shall fairly represent agricultural, educational, research, industrial, nongovernmental, labor, and commercial interests throughout the United States.	representation, members, board, fairly, represent, agricultural, educational, research, industrial, nongovernmental, labor, commercial, interests, throughout, united, states
26	5.3 - 5.3	SEC. 2.(b)(3)(C)	TERM.—	term
27	5.4 - 5.6	SEC. 2.(b)(3)(C)(i)	IN GENERAL.—Except as otherwise provided in this section, each member of the Board—	except, otherwise, member, board
28	5.7 - 5.8	SEC. 2.(b)(3)(C)(i)(I)	shall be appointed for a term of 6 years; and	appointed, term, years
29	5.9 - 5.10	SEC. 2.(b)(3)(C)(i)(II)	may be reappointed for 1 additional term.	reappointed, term
30	5.11 - 5.13	SEC. 2.(b)(3)(C)(ii)	INITIAL STAGGERED TERMS.—Of the members first appointed to the Board—	initial, staggered, terms, members, appointed, board
31	5.14 - 5.15	SEC. 2.(b)(3)(C)(ii)(I)	2 shall each be appointed for a term of 2 years;	appointed, term, years
32	5.16 - 5.17	SEC. 2.(b)(3)(C)(ii)(II)	3 shall each be appointed for a term of 4 years; and	appointed, term, years
33	5.18 - 5.19	SEC. 2.(b)(3)(C)(ii)(III)	2 shall each be appointed for a term of 6 years.	appointed, term, years
34	5.20 - 5.23	SEC. 2.(b)(4)	INITIAL MEETING.—Not later than 30 days after the date on which all members of the Board are appointed under paragraph (1), the Board shall hold an initial meeting.	initial, meeting, members, board, appointed, hold
35	5.24 - 5.24	SEC. 2.(c)	WORKING GROUPS.—	working
36	6.1 - 6.4	SEC. 2.(c)(1)	IN GENERAL.—The Board shall create, oversee, and incorporate feedback from the following working groups (each referred to in this section as a ‘‘working group’’):	board, oversee, incorporate, feedback, working, referred, group
37	6.5 - 6.6	SEC. 2.(c)(1)(A)	An environmental justice working group.	environmental, justice, working, group
38	6.7 - 6.8	SEC. 2.(c)(1)(B)	A worker and community transition assistance working group.	worker, community, transition, assistance, working, group
39	6.9 - 6.10	SEC. 2.(c)(1)(C)	A research and innovation working group.	research, innovation, working, group
40	6.11 - 6.11	SEC. 2.(c)(2)	WORKING GROUP MEMBERS.—	working, group, members
41	6.12 - 6.13	SEC. 2.(c)(2)(A)	IN GENERAL.—Each working group shall—	working, group
42	6.14 - 6.15	SEC. 2.(c)(2)(A)(i)	be chaired by a Board member; and	chaired, board, member
43	6.16 - 6.21	SEC. 2.(c)(2)(A)(ii)	comprise not less than 10 and not more than 20 individuals, who shall be experts, members of directly impacted communities relating to the subject matter of the working group, and other relevant stakeholders.	comprise, individuals, experts, members, directly, impacted, communities, relating, subject, matter, working, group, relevant, stakeholders
44	6.22 - 6.24	SEC. 2.(c)(2)(B)	DIVERSITY.—Individuals on a working group shall, to the maximum extent practicable, represent—	diversity, individuals, working, group, maximum, extent, practicable, represent
45	7.1 - 7.3	SEC. 2.(c)(2)(B)(i)	a diverse array of interests related to the subject matter of the working group; and	diverse, array, interests, related, subject, matter, working, group
46	7.4 - 7.6	SEC. 2.(c)(2)(B)(ii)	diverse geographical, racial, religious, gender, educational, age, disability, and socioeconomic backgrounds.	diverse, geographical, racial, religious, gender, educational, disability, socioeconomic, backgrounds
47	7.7 - 7.8	SEC. 2.(c)(3)	MEETINGS.—Each working group shall meet not less than 2 times per year.	meetings, working, group
48	7.9 - 7.10	SEC. 2.(c)(4)	COMMUNITY AND STAKEHOLDER ENGAGEMENT.—	community, stakeholder, engagement
49	7.11 - 7.15	SEC. 2.(c)(4)(A)	IN GENERAL.—Each working group shall create and engage in meaningful community and stakeholder involvement opportunities, including through regular community engagement activities, for purposes of—	working, group, engage, meaningful, community, stakeholder, involvement, opportunities, regular, engagement, activities, purposes
50	7.16 - 7.18	SEC. 2.(c)(4)(A)(i)	maintaining up-to-date situational awareness about the needs of relevant communities and stakeholders;	maintaining, situational, awareness, needs, relevant, communities, stakeholders
51	7.19 - 7.22	SEC. 2.(c)(4)(A)(ii)	using the feedback obtained through those opportunities to inform the advice of the working group to the Board; and	feedback, obtained, opportunities, inform, advice, working, group, board
52	7.23 - 8.2	SEC. 2.(c)(4)(A)(iii)	providing a mechanism for direct and substantial community feedback relating to the investment plan and the funding decisions of the C2FC.	providing, mechanism, direct, substantial, community, feedback, relating, investment, plan, funding, decisions, c2fc
53	8.3 - 8.9	SEC. 2.(c)(4)(B)	PUBLIC AWARENESS.—Each working group shall inform the public about C2FC investment by engaging in public awareness campaigns, which shall target relevant communities through electronic media, newspapers, radio, direct mailings, canvassing, or other outreach methods suited for the relevant community.	public, awareness, working, group, inform, c2fc, investment, engaging, campaigns, target, relevant, communities, electronic, media, newspapers, radio, direct, mailings, canvassing, outreach, methods, suited, community
54	8.10 - 8.17	SEC. 2.(c)(4)(C)	BROAD PARTICIPATION.—In carrying out subparagraph (A), each working group shall, to the maximum extent practicable, maximize participation from a broad group of stakeholders, including by holding multiple meetings with significant advance notice and holding meetings at different times and in multiple languages.	broad, participation, carrying, subparagraph, working, group, maximum, extent, practicable, maximize, stakeholders, holding, multiple, meetings, significant, advance, notice, languages
55	8.18 - 8.19	SEC. 2.(c)(5)	TASKS.—Each working group shall, as it relates to the subject matter of the working group—	tasks, working, group, relates, subject, matter
56	8.20 - 8.22	SEC. 2.(c)(5)(A)	advise and provide general input to the Board regarding loans and grants provided by the C2FC; and	advise, input, board, regarding, loans, grants, c2fc
57	8.23 - 9.2	SEC. 2.(c)(5)(B)	consult with and, based on the activities described in paragraph (4), provide recommendations to, the Board in the development of and updates to the investment plan of the C2FC.	consult, activities, described, recommendations, board, development, updates, investment, plan, c2fc
